20230313 17:39:00 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java181 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:40:19 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java43 - Logger : Inside test TC1 getEmployeeList
20230313 17:40:25 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:40:25 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:40:26 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java152 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:40:26 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:47:44 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java43 - Logger : Inside test TC1 getEmployeeList
20230313 17:47:49 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:47:50 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:47:50 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java152 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:47:51 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:48:47 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java43 - Logger : Inside test TC1 getEmployeeList
20230313 17:48:53 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:48:54 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:48:54 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java152 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:48:54 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:49:18 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java43 - Logger : Inside test TC1 getEmployeeList
20230313 17:49:21 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:49:22 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:49:22 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java152 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:49:23 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
20230313 17:49:46 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java43 - Logger : Inside test TC1 getEmployeeList
20230313 17:49:49 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java79 - Logger : Inside test TC2 CreateEmployee
20230313 17:49:50 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java114 - Logger : Inside test TC3 DeleteEmployee
20230313 17:49:50 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java152 - Logger: Inside test TC4 DeleteEmployeeWithParam0
20230313 17:49:50 INFO  [main] testsLeti.ApiEmployeeTestsEndToEnd ApiEmployeeTestsEndToEnd.java180 - Logger: Inside test TC5 getEmployeeInfo
